thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.34	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.34	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.58	 throttle (%) 25
thrust (kg): 0.33	 current (A): -3.26	 throttle (%) 25
thrust (kg): 0.52	 current (A): -16.93	 throttle (%) 50
thrust (kg): 1.03	 current (A): -16.60	 throttle (%) 50
thrust (kg): 1.03	 current (A): -16.60	 throttle (%) 50
thrust (kg): 1.02	 current (A): -16.93	 throttle (%) 50
thrust (kg): 1.02	 current (A): -16.60	 throttle (%) 50
thrust (kg): 1.01	 current (A): -15.63	 throttle (%) 50
thrust (kg): 1.01	 current (A): -16.93	 throttle (%) 50
thrust (kg): 1.00	 current (A): -17.58	 throttle (%) 50
thrust (kg): 1.00	 current (A): -16.28	 throttle (%) 50
thrust (kg): 1.21	 current (A): -39.71	 throttle (%) 75
thrust (kg): 1.79	 current (A): -40.04	 throttle (%) 75
thrust (kg): 1.77	 current (A): -39.39	 throttle (%) 75
thrust (kg): 1.75	 current (A): -38.74	 throttle (%) 75
thrust (kg): 1.85	 current (A): -68.36	 throttle (%) 100
thrust (kg): 2.24	 current (A): -68.36	 throttle (%) 100
thrust (kg): 1.48	 current (A): -3.26	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.00	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.33	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.33	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.33	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
thrust (kg): 0.01	 current (A): 0.00	 throttle (%) 0
